grant_title,id,organization,total_amount,group,Grant start date,start_month,start_day,start_year
Bookpages,1,New Mexico Business Roundtable for Educational Excellence,5000,low,2/4/2010,2,4,2010
Telebook,2,Trustees of Dartmouth College,27727,low,8/3/2009,8,3,2009
IMDb,3,Denver School of Science and Technology Inc.,36018,low,11/12/2009,11,12,2009
Junglee,4,The NEA Foundation for the Improvement of Education,38420,low,3/11/2010,3,11,2010
PlanetAll,5,New Schools for New Orleans,50000,low,10/12/2009,10,12,2009
LiveBid.com,6,Battelle For Kids,50000,low,6/30/2009,6,30,2009
Accept.com,7,FSG Social Impact Advisors,50000,low,9/24/2009,9,24,2009
Alexa Internet,8,Aspire Public Schools,51500,low,10/29/2009,10,29,2009
e-Niche Incorporatd,9,Educational Policy Improvement Center,55752,low,11/16/2009,11,16,2009
Convergence Corporation,10,E3 Alliance,56245,low,10/28/2009,10,28,2009
Tool Crib of the North (Online and Catalog Sales Division),11,"Hillsborough Education Foundation, Inc.",60000,low,11/2/2009,11,2,2009
Back to Basics Toys,12,The College-Ready Promise,60000,low,11/2/2009,11,2,2009
Leep Technology Inc.,13,Memphis City Schools Foundation,60000,low,11/2/2009,11,2,2009
MindCorps Incorporated,14,Pittsburgh Public Schools,60000,low,11/2/2009,11,2,2009
Egghead Software,15,Greater Houston Community Foundation,68500,low,10/28/2009,10,28,2009
OurHouse.com,16,"New Visions for Public Schools, Inc",70116,low,11/10/2009,11,10,2009
Joyo.com,17,School District of Philadelphia,74219,low,11/13/2009,11,13,2009
BookSurge,18,Hamilton County Department of Education,74800,low,11/1/2009,11,1,2009
Mobipocket,19,Internationals Network For Public Schools Inc,74900,low,3/24/2010,3,24,2010
CustomFlix,20,Achieve Minneapolis,74963,low,10/29/2009,10,29,2009
smallparts.com,21,The College-Ready Promise,75000,low,11/4/2009,11,4,2009
Shopbop,22,Texas Public Education Reform Foundation,75000,low,10/1/2008,10,1,2008
TextPayMe,23,New York City Center for Charter School Excellence,75300,low,10/30/2009,10,30,2009
Digital Photography Review,24,"SEED Foundation, Inc.",75970,low,1/28/2010,1,28,2010
Brilliance Audio,25,City of New Haven,82500,low,11/17/2009,11,17,2009
Withoutabox,26,President and Fellows of Harvard College,91300,low,5/13/2009,5,13,2009
Audible,27,The Library of Congress,91350,low,3/1/2008,3,1,2008
Fabric.com,28,Austin Voices for Education and Youth,93000,low,10/1/2009,10,1,2009
AbeBooks,29,Prichard Committee for Academic Excellence,100000,medium,4/30/2010,4,30,2010
Shelfari,30,Council Of The Great City Schools,100000,medium,3/18/2010,3,18,2010
Reflexive Entertainment,31,New Schools for New Orleans,100000,medium,11/4/2009,11,4,2009
Box Office Mojo,32,Education Equality Project,100000,medium,6/19/2009,6,19,2009
Lexcycle,33,Education Writers Association,100000,medium,7/22/2009,7,22,2009
SnapTell,34,Alliance for Education,110610,medium,2/26/2010,2,26,2010
Zappos,35,Texas Public Education Reform Foundation,140000,medium,7/28/2009,7,28,2009
Touchco,36,Charlotte-Mecklenburg Schools,143973,medium,11/9/2009,11,9,2009
Woot,37,Washington State Commission on African American Affairs,146025,medium,11/20/2009,11,20,2009
Amie Street,38,Cristo Rey Network,149733,medium,11/6/2009,11,6,2009
BuyVIP,39,American Institutes for Research,150000,medium,3/1/2008,3,1,2008
Quidsi,40,Professional Educator Standards Board,150000,medium,10/9/2009,10,9,2009
Toby Press,41,Fund for Public Schools Inc.,170023,medium,10/27/2009,10,27,2009
LoveFilm,42,DC VOICE,200000,medium,7/1/2008,7,1,2008
The Book Depository,43,Tiger Woods Foundation Inc.,200000,medium,8/29/2009,8,29,2009
Pushbutton,44,"Public Agenda Foundation, Inc.",215000,medium,3/2/2009,3,2,2009
Yap,45,Rensselaer Polytechnic Institute,220654,medium,9/29/2009,9,29,2009
Double Helix Games,46,National Commission on Teachings & America's Future,221755,medium,1/1/2009,1,1,2009
Teachstreet,47,President and Fellows of Harvard College,224030,medium,2/25/2010,2,25,2010
Kiva Systems,48,Illinois State Board of Education,225000,medium,10/1/2008,10,1,2008
Evi,49,Rensselaer Polytechnic Institute,231382,medium,12/1/2008,12,1,2008
AvalonBooks,50,New Schools Fund dba NewSchools Venture Fund,246070,medium,9/10/2009,9,10,2009
UpNext,51,New Schools Fund dba NewSchools Venture Fund,250000,medium,3/26/2009,3,26,2009
IVONA Software,52,Texas Charter Schools Association,250000,medium,5/18/2009,5,18,2009
Goodreads,53,American Federation Of Teachers Educational Foundation,250000,medium,6/23/2009,6,23,2009
Liquavista,54,National Center For Educational Achievement,260760,medium,11/21/2009,11,21,2009
"TenMarks Education, Inc",55,Military Child Education Coalition,269998,medium,10/1/2008,10,1,2008
ComiXology,56,DC Public Education Fund,299985,medium,11/10/2009,11,10,2009
Amiato,57,Grantmakers for Education,300000,medium,11/6/2009,11,6,2009
Twitch Interactive,58,Envision Schools,300000,medium,6/1/2008,6,1,2008
Rooftop Media,59,Silicon Valley Community Foundation,300000,medium,11/10/2009,11,10,2009
GoodGame,60,"ACT, Inc.",300000,medium,10/1/2008,10,1,2008
Annapurna Labs,61,Arkansas Department of Education,300000,medium,11/19/2009,11,19,2009
2lemetry,62,Florida Department of Education,300000,medium,11/19/2009,11,19,2009
Shoefitr,63,Georgia Department of Education,300000,medium,11/19/2009,11,19,2009
ClusterK,64,Louisiana Department of Education,300000,medium,11/19/2009,11,19,2009
AppThwack,65,Ohio Department of Education,300000,medium,11/19/2009,11,19,2009
Safaba Translation Systems,66,California Polytechnic State University Foundation,300000,medium,1/8/2009,1,8,2009
Biba Systems,67,Tennessee State Collaborative on Reforming Education,300250,medium,2/19/2010,2,19,2010
Orbeus,68,Twenty First Century Foundation,302425,medium,5/1/2008,5,1,2008
Colis Prive,69,Alliance for Education,309554,medium,9/17/2008,9,17,2008
NICE,70,National Council of La Raza,322103,medium,11/10/2009,11,10,2009
Emvantage Payments,71,American Institutes for Research,325000,medium,12/1/2008,12,1,2008
Cloud9 IDE,72,"University System of Georgia Foundation, Inc.",331678,medium,11/11/2009,11,11,2009
"Curse, Inc",73,Common Core Inc.,331890,medium,12/17/2009,12,17,2009
Westland,74,National Council for the Social Studies,351704,medium,6/1/2008,6,1,2008
Partpic,75,Pittsburgh Public Schools,353977,medium,11/13/2009,11,13,2009
